equipment_port,equipment_id,process_time,allocate_rule,equipment_status
r1_1,r1,4.8,random,1
r1_2,r1,4.8,random,1
r1_3,r1,4.8,random,0
r1_4,r1,4.8,random,0
r2_1,r2,4.8,random,1
r2_2,r2,4.8,random,0
r2_3,r2,4.8,random,0
r2_4,r2,4.8,random,0
m1_1,m1,4.8,,1
m1_2,m1,4.8,,1
m1_3,m1,4.8,,0
m1_4,m1,4.8,,0
r3_1,r3,4.8,random,0
r3_2,r3,4.8,random,0
r3_3,r3,4.8,random,0
r3_4,r3,4.8,random,0
r3_5,r3,4.8,random,0
r3_6,r3,4.8,random,0
r3_7,r3,4.8,random,0
r3_8,r3,4.8,random,0
r3_9,r3,4.8,random,1
r3_10,r3,4.8,random,1
r4_1,r4,4.8,random,0
r4_2,r4,4.8,random,0
r4_3,r4,4.8,random,0
r4_4,r4,4.8,random,0
r4_5,r4,4.8,random,0
r4_6,r4,4.8,random,0
r4_7,r4,4.8,random,0
r4_8,r4,4.8,random,0
r4_9,r4,4.8,random,1
r4_10,r4,4.8,random,1
m2_1,m2,4.8,,0
m2_2,m2,4.8,,0
m2_3,m2,4.8,,0
m2_4,m2,4.8,,0
m2_5,m2,4.8,,0
m2_6,m2,4.8,,0
m2_7,m2,4.8,,0
m2_8,m2,4.8,,0
m2_9,m2,4.8,,1
m2_10,m2,4.8,,1
r5_1,r5,4.8,random,1
r5_2,r5,4.8,random,1
r5_3,r5,4.8,random,1
r5_4,r5,4.8,random,1
m3_1,m3,4.8,,1
m3_2,m3,4.8,,1
a1_1,a1,4.4,random,0
a1_2,a1,4.4,random,0
a1_3,a1,4.4,random,0
a1_4,a1,4.4,random,0
a1_5,a1,4.4,random,0
a1_6,a1,4.4,random,0
a1_7,a1,4.4,random,0
a1_8,a1,4.4,random,1
a1_9,a1,4.4,random,1
a1_10,a1,4.4,random,1
a1_11,a1,4.4,random,1
a1_12,a1,4.4,random,1
a2_1,a2,4.4,random,0
a2_2,a2,4.4,random,0
a2_3,a2,4.4,random,0
a2_4,a2,4.4,random,0
a2_5,a2,4.4,random,0
a2_6,a2,4.4,random,0
a2_7,a2,4.4,random,0
a2_8,a2,4.4,random,0
a2_9,a2,4.4,random,0
a2_10,a2,4.4,random,1
a2_11,a2,4.4,random,1
a2_12,a2,4.4,random,1
m4_1,m4,4.8,,0
m4_2,m4,4.8,,0
m4_3,m4,4.8,,0
m4_4,m4,4.8,,0
m4_5,m4,4.8,,0
m4_6,m4,4.8,,0
m4_7,m4,4.8,,1
m4_8,m4,4.8,,1
i1_1,i1,0.32,,1
i1_2,i1,0.32,,1
i2_1,i2,0.32,,1
i2_2,i2,0.32,,1
i2_3,i2,0.32,,1
i3_1,i3,0.32,,1
i3_2,i3,0.32,,1
i4_1,i4,0.32,,1
i4_2,i4,0.32,,1
i4_3,i4,0.32,,1
i4_4,i4,0.32,,1
i5_1,i5,0.32,,1
i5_2,i5,0.32,,1
i5_3,i5,0.32,,1
i5_4,i5,0.32,,1
i6_1,i6,0.32,,1
i6_2,i6,0.32,,1
i7_1,i7,0.32,,1
i7_2,i7,0.32,,1
i7_3,i7,0.32,,1
i8_1,i8,0.32,,1
i8_2,i8,0.32,,1
i9_1,i9,0.825,,1
i9_2,i9,0.825,,1
i9_3,i9,0.825,,1
i9_4,i9,0.825,,1
i9_5,i9,0.825,,1
