equipment_id,equipment_port,resource_id,inserted_on,modified_on
a1,a1_1,man_a1_1,,
a1,a1_10,man_a1_10,,
a1,a1_11,man_a1_11,,
a1,a1_12,man_a1_12,,
a1,a1_2,man_a1_2,,
a1,a1_3,man_a1_3,,
a1,a1_4,man_a1_4,,
a1,a1_5,man_a1_5,,
a1,a1_6,man_a1_6,,
a1,a1_7,man_a1_7,,
a1,a1_8,man_a1_8,,
a1,a1_9,man_a1_9,,
a2,a2_1,man_a2_1,,
a2,a2_10,man_a2_10,,
a2,a2_11,man_a2_11,,
a2,a2_12,man_a2_12,,
a2,a2_2,man_a2_2,,
a2,a2_3,man_a2_3,,
a2,a2_4,man_a2_4,,
a2,a2_5,man_a2_5,,
a2,a2_6,man_a2_6,,
a2,a2_7,man_a2_7,,
a2,a2_8,man_a2_8,,
a2,a2_9,man_a2_9,,
h1,h1_1,man_h1_1,,
h2,h2_1,man_h2_1,,
h3,h3_1,man_h3_1,,
i1,i1_1,ls_1,,
i1,i1_2,ls_1,,
i10,i10_1,ms_1,,
i10,i10_2,ms_1,,
i10,i10_3,ms_1,,
i10,i10_4,ms_1,,
i10,i10_5,ms_1,,
i10,i10_6,ms_1,,
i10,i10_7,ms_1,,
i11,i11_1,ms_2,,
i11,i11_2,ms_2,,
i11,i11_3,ms_2,,
i11,i11_4,ms_2,,
i11,i11_5,ms_2,,
i11,i11_6,ms_2,,
i11,i11_7,ms_2,,
i12,i12_1,ms_2,,
i12,i12_2,ms_2,,
i12,i12_3,ms_2,,
i12,i12_4,ms_2,,
i12,i12_5,ms_2,,
i12,i12_6,ms_2,,
i12,i12_7,ms_2,,
i13,i13_1,ms_3,,
i13,i13_2,ms_3,,
i13,i13_3,ms_3,,
i13,i13_4,ms_3,,
i13,i13_5,ms_3,,
i13,i13_6,ms_3,,
i13,i13_7,ms_3,,
i14,i14_1,ms_3,,
i14,i14_2,ms_3,,
i14,i14_3,ms_3,,
i14,i14_4,ms_3,,
i14,i14_5,ms_3,,
i14,i14_6,ms_3,,
i14,i14_7,ms_3,,
i15,i15_1,ms_4,,
i15,i15_2,ms_4,,
i15,i15_3,ms_4,,
i15,i15_4,ms_4,,
i15,i15_5,ms_4,,
i15,i15_6,ms_4,,
i15,i15_7,ms_4,,
i16,i16_1,ms_4,,
i16,i16_2,ms_4,,
i16,i16_3,ms_4,,
i16,i16_4,ms_4,,
i16,i16_5,ms_4,,
i16,i16_6,ms_4,,
i16,i16_7,ms_4,,
i17,i17_1,as_1,,
i17,i17_2,as_1,,
i17,i17_3,as_1,,
i17,i17_4,as_1,,
i18,i18_1,as_1,,
i18,i18_2,as_1,,
i19,i19_1,as_1,,
i19,i19_2,as_1,,
i19,i19_3,as_1,,
i19,i19_4,as_1,,
i2,i2_1,ls_1,,
i2,i2_2,ls_1,,
i2,i2_3,ls_1,,
i20,i20_1,as_1,,
i20,i20_2,as_1,,
i21,i21_1,as_2,,
i21,i21_2,as_2,,
i22,i22_1,as_2,,
i22,i22_2,as_2,,
i22,i22_3,as_2,,
i22,i22_4,as_2,,
i23,i23_1,as_2,,
i23,i23_2,as_2,,
i24,i24_1,as_2,,
i24,i24_2,as_2,,
i24,i24_3,as_2,,
i24,i24_4,as_2,,
i3,i3_1,ls_1,,
i3,i3_2,ls_1,,
i4,i4_1,ls_1,,
i4,i4_2,ls_1,,
i4,i4_3,ls_1,,
i4,i4_4,ls_1,,
i5,i5_1,ls_2,,
i5,i5_2,ls_2,,
i5,i5_3,ls_2,,
i5,i5_4,ls_2,,
i6,i6_1,ls_2,,
i6,i6_2,ls_2,,
i7,i7_1,ls_2,,
i7,i7_2,ls_2,,
i7,i7_3,ls_2,,
i8,i8_1,ls_2,,
i8,i8_2,ls_2,,
i9,i9_1,ms_1,,
i9,i9_2,ms_1,,
i9,i9_3,ms_1,,
i9,i9_4,ms_1,,
i9,i9_5,ms_1,,
i9,i9_6,ms_1,,
i9,i9_7,ms_1,,
j1,j1_1,man_j1_1,,
j10,j10_1,man_j10_1,,
j11,j11_1,man_j11_1,,
j12,j12_1,man_j12_1,,
j13,j13_1,man_j13_1,,
j14,j14_1,man_j14_1,,
j15,j15_1,man_j15_1,,
j16,j16_1,man_j16_1,,
j17,j17_1,man_j17_1,,
j18,j18_1,man_j18_1,,
j19,j19_1,man_j19_1,,
j2,j2_1,man_j2_1,,
j20,j20_1,man_j20_1,,
j21,j21_1,man_j21_1,,
j22,j22_1,man_j22_1,,
j23,j23_1,man_j23_1,,
j24,j24_1,man_j24_1,,
j25,j25_1,man_j25_1,,
j26,j26_1,man_j26_1,,
j27,j27_1,man_j27_1,,
j28,j28_1,man_j28_1,,
j29,j29_1,man_j29_1,,
j3,j3_1,man_j3_1,,
j30,j30_1,man_j30_1,,
j31,j31_1,man_j31_1,,
j32,j32_1,man_j32_1,,
j33,j33_1,man_j33_1,,
j34,j34_1,man_j34_1,,
j35,j35_1,man_j35_1,,
j36,j36_1,man_j36_1,,
j37,j37_1,man_j37_1,,
j38,j38_1,man_j38_1,,
j39,j39_1,man_j39_1,,
j4,j4_1,man_j4_1,,
j40,j40_1,man_j40_1,,
j41,j41_1,man_j41_1,,
j5,j5_1,man_j5_1,,
j6,j6_1,man_j6_1,,
j7,j7_1,man_j7_1,,
j8,j8_1,man_j8_1,,
j9,j9_1,man_j9_1,,
m1,m1_1,man_m1_1,,
m1,m1_2,man_m1_2,,
m1,m1_3,man_m1_3,,
m1,m1_4,man_m1_4,,
m2,m2_1,man_m2_1,,
m2,m2_10,man_m2_10,,
m2,m2_2,man_m2_2,,
m2,m2_3,man_m2_3,,
m2,m2_4,man_m2_4,,
m2,m2_5,man_m2_5,,
m2,m2_6,man_m2_6,,
m2,m2_7,man_m2_7,,
m2,m2_8,man_m2_8,,
m2,m2_9,man_m2_9,,
m3,m3_1,man_m3_1,,
m3,m3_2,man_m3_2,,
m4,m4_1,man_m4_1,,
m4,m4_2,man_m4_2,,
m4,m4_3,man_m4_3,,
m4,m4_4,man_m4_4,,
m4,m4_5,man_m4_5,,
m4,m4_6,man_m4_6,,
m4,m4_7,man_m4_7,,
m4,m4_8,man_m4_8,,
r1,r1_1,man_r1_1,,
r1,r1_2,man_r1_2,,
r1,r1_3,man_r1_3,,
r1,r1_4,man_r1_4,,
r2,r2_1,man_r2_1,,
r2,r2_2,man_r2_2,,
r2,r2_3,man_r2_3,,
r2,r2_4,man_r2_4,,
r3,r3_1,man_r3_1,,
r3,r3_10,man_r3_10,,
r3,r3_2,man_r3_2,,
r3,r3_3,man_r3_3,,
r3,r3_4,man_r3_4,,
r3,r3_5,man_r3_5,,
r3,r3_6,man_r3_6,,
r3,r3_7,man_r3_7,,
r3,r3_8,man_r3_8,,
r3,r3_9,man_r3_9,,
r4,r4_1,man_r4_1,,
r4,r4_10,man_r4_10,,
r4,r4_2,man_r4_2,,
r4,r4_3,man_r4_3,,
r4,r4_4,man_r4_4,,
