equipment_port_last,equipment_port_next,equipment_type,queue_id,process_time,allocate_rule,parcel_type,sorter_zone,dest_type,inserted_on,modified_on
a1_1,m4_2,m,a1_m4,12.98,,,AM1,,,
a1_10,m4_8,m,a1_m4,12.98,,,AM1,,,
a1_11,m4_8,m,a1_m4,12.98,,,AM1,,,
a1_12,m4_8,m,a1_m4,12.98,,,AM1,,,
a1_2,m4_2,m,a1_m4,12.98,,,AM1,,,
a1_3,m4_2,m,a1_m4,12.98,,,AM1,,,
a1_4,m4_4,m,a1_m4,12.98,,,AM1,,,
a1_5,m4_4,m,a1_m4,12.98,,,AM1,,,
a1_6,m4_4,m,a1_m4,12.98,,,AM1,,,
a1_7,m4_6,m,a1_m4,12.98,,,AM1,,,
a1_8,m4_6,m,a1_m4,12.98,,,AM1,,,
a1_9,m4_6,m,a1_m4,12.98,,,AM1,,,
a2_1,m4_1,m,a2_m4,14.31,,,AM1,,,
a2_10,m4_7,m,a2_m4,14.31,,,AM1,,,
a2_11,m4_7,m,a2_m4,14.31,,,AM1,,,
a2_12,m4_7,m,a2_m4,14.31,,,AM1,,,
a2_2,m4_1,m,a2_m4,14.31,,,AM1,,,
a2_3,m4_1,m,a2_m4,14.31,,,AM1,,,
a2_4,m4_3,m,a2_m4,14.31,,,AM1,,,
a2_5,m4_3,m,a2_m4,14.31,,,AM1,,,
a2_6,m4_3,m,a2_m4,14.31,,,AM1,,,
a2_7,m4_5,m,a2_m4,14.31,,,AM1,,,
a2_8,m4_5,m,a2_m4,14.31,,,AM1,,,
a2_9,m4_5,m,a2_m4,14.31,,,AM1,,,
c10_1,x3_1,x,c10_x3,41.95,OD,Small,LS1,,,
c10_1,x9_1,x,c10_x9,48.37,OD,Small,LS2,,,
c10_10,x3_1,x,c10_x3,41.95,OD,Small,LS1,,,
c10_10,x9_1,x,c10_x9,48.37,OD,Small,LS2,,,
c10_100,x3_1,x,c10_x3,41.95,OD,Small,LS1,,,
c10_100,x9_1,x,c10_x9,48.37,OD,Small,LS2,,,
c10_101,x3_1,x,c10_x3,41.95,OD,Small,LS1,,,
c10_101,x9_1,x,c10_x9,48.37,OD,Small,LS2,,,
c10_102,x3_1,x,c10_x3,41.95,OD,Small,LS1,,,
