equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c1_1,c1,571J,L,,
c1_2,c1,回流,L,,
c1_3,c1,571JB,L,,
c1_4,c1,571AE,L,,
c1_5,c1,571QD,L,,
c1_6,c1,571TP,L,,
c1_7,c1,571QE,L,,
c1_8,c1,571TQ,L,,
c1_9,c1,571AJ,L,,
c1_10,c1,571TK,L,,
c1_11,c1,571CD,L,,
c1_12,c1,571TB,L,,
c1_13,c1,571AG,L,,
c1_14,c1,571NF,L,,
c1_15,c1,571QC,L,,
c1_16,c1,571NA,L,,
c1_17,c1,571DC,L,,
c1_18,c1,571AQ,L,,
c1_19,c1,571KL,L,,
c1_20,c1,571HB,L,,
c1_21,c1,571B,L,,
c1_22,c1,571NB,L,,
c1_23,c1,571AM,L,,
c1_24,c1,571NH,L,,
c1_25,c1,571PF,L,,
c1_26,c1,C571H,L,,
c1_27,c1,571BM,L,,
c1_28,c1,571重货,L,,
c1_29,c1,571AF,L,,
c1_30,c1,571HC,L,,
c1_31,c1,571AD,L,,
c1_32,c1,571AB,L,,
c1_33,c1,571DB,L,,
c1_34,c1,571TL,L,,
c1_35,c1,571D,L,,
c1_36,c1,571KC,L,,
c1_37,c1,571HP,L,,
c1_38,c1,571TD,L,,
c1_39,c1,571DA,L,,
c1_40,c1,571FC,L,,
c1_41,c1,571FM,L,,
c1_42,c1,571FN,L,,
c1_43,c1,571FF,L,,
c1_44,c1,571FQ,L,,
c1_45,c1,571FT,L,,
c1_46,c1,571FP,L,,
c1_47,c1,571FB,L,,
c1_48,c1,571FA,L,,
c1_49,c1,571CK,L,,
c1_50,c1,571KM,L,,
c2_1,c2,,L,,
c2_2,c2,571GD,L,,
c2_3,c2,C551HH,L,,
c2_4,c2,571PH,L,,
c2_5,c2,C551HH,L,,
c2_6,c2,571PB,L,,
c2_7,c2,C551,L,,
c2_8,c2,571PG,L,,
c2_9,c2,高危快件,L,,
c2_10,c2,571PD,L,,
c2_11,c2,C563,L,,
c2_12,c2,571MB,L,,
c2_13,c2,C559,L,,
c2_14,c2,571FG,L,,
c2_15,c2,C791H,L,,
c2_16,c2,571MF,L,,
c2_17,c2,C791,L,,
c2_18,c2,571MQ,L,,
c2_19,c2,C701,L,,
c2_20,c2,571L,L,,
c2_21,c2,C793,L,,
c2_22,c2,571SC,L,,
c2_23,c2,C790,L,,
c2_24,c2,571G,L,,
c2_25,c2,,L,,
c2_26,c2,571SD,L,,
c2_27,c2,C552,L,,
c2_28,c2,571FK,L,,
c2_29,c2,C553,L,,
c2_30,c2,571SB,L,,
c2_31,c2,C572,L,,
c2_32,c2,571FD,L,,
c2_33,c2,C550,L,,
c2_34,c2,571FS,L,,
c2_35,c2,C550,L,,
c2_36,c2,571FR,L,,
c2_37,c2,C577,L,,
c2_38,c2,571SA,L,,
c2_39,c2,C577,L,,
c2_40,c2,571SQ,L,,
c2_41,c2,C025H,L,,
