resource_id,resource_name,resource_limit,capacity_per_resource,resource_on_number,resource_number,inserted_on,modified_on
as_1,AS1小车环线,571.0,1.0,571.0,571.0,,
as_2,AS2小车环线,571.0,1.0,571.0,571.0,,
ls_1,LS1小车环线,213.0,1.0,213.0,213.0,,
ls_2,LS2小车环线,213.0,1.0,213.0,213.0,,
man_a1_1,a1人力1,1.0,1.0,1.0,1.0,,
man_a1_10,a1人力10,1.0,1.0,1.0,1.0,,
man_a1_11,a1人力11,1.0,1.0,1.0,1.0,,
man_a1_12,a1人力12,1.0,1.0,1.0,1.0,,
man_a1_2,a1人力2,1.0,1.0,1.0,1.0,,
man_a1_3,a1人力3,1.0,1.0,1.0,1.0,,
man_a1_4,a1人力4,1.0,1.0,1.0,1.0,,
man_a1_5,a1人力5,1.0,1.0,1.0,1.0,,
man_a1_6,a1人力6,1.0,1.0,1.0,1.0,,
man_a1_7,a1人力7,1.0,1.0,1.0,1.0,,
man_a1_8,a1人力8,1.0,1.0,1.0,1.0,,
man_a1_9,a1人力9,1.0,1.0,1.0,1.0,,
man_a2_1,a2人力1,1.0,1.0,1.0,1.0,,
man_a2_10,a2人力10,1.0,1.0,1.0,1.0,,
man_a2_11,a2人力11,1.0,1.0,1.0,1.0,,
man_a2_12,a2人力12,1.0,1.0,1.0,1.0,,
man_a2_2,a2人力2,1.0,1.0,1.0,1.0,,
man_a2_3,a2人力3,1.0,1.0,1.0,1.0,,
man_a2_4,a2人力4,1.0,1.0,1.0,1.0,,
man_a2_5,a2人力5,1.0,1.0,1.0,1.0,,
man_a2_6,a2人力6,1.0,1.0,1.0,1.0,,
man_a2_7,a2人力7,1.0,1.0,1.0,1.0,,
man_a2_8,a2人力8,1.0,1.0,1.0,1.0,,
man_a2_9,a2人力9,1.0,1.0,1.0,1.0,,
man_h1_1,h1人力1,2.0,1.0,2.0,8.0,,
man_h2_1,h2人力1,2.0,1.0,2.0,8.0,,
man_h3_1,h3人力1,3.0,1.0,3.0,16.0,,
man_j10_1,j10人力1,1.0,1.0,1.0,1.0,,
man_j11_1,j11人力1,0.0,1.0,0.0,1.0,,
man_j12_1,j12人力1,0.0,1.0,0.0,1.0,,
man_j13_1,j13人力1,0.0,1.0,0.0,1.0,,
man_j14_1,j14人力1,0.0,1.0,0.0,1.0,,
man_j15_1,j15人力1,1.0,1.0,1.0,1.0,,
man_j16_1,j16人力1,1.0,1.0,1.0,1.0,,
man_j17_1,j17人力1,0.0,1.0,0.0,1.0,,
man_j18_1,j18人力1,0.0,1.0,0.0,1.0,,
man_j19_1,j19人力1,0.0,1.0,0.0,1.0,,
man_j1_1,j1人力1,0.0,1.0,0.0,1.0,,
man_j20_1,j20人力1,0.0,1.0,0.0,1.0,,
man_j21_1,j21人力1,1.0,1.0,1.0,1.0,,
man_j22_1,j22人力1,1.0,1.0,1.0,1.0,,
man_j23_1,j23人力1,1.0,1.0,1.0,1.0,,
man_j24_1,j24人力1,1.0,1.0,1.0,1.0,,
man_j25_1,j25人力1,0.0,1.0,0.0,1.0,,
man_j26_1,j26人力1,0.0,1.0,0.0,1.0,,
man_j27_1,j27人力1,1.0,1.0,1.0,1.0,,
man_j28_1,j28人力1,1.0,1.0,1.0,1.0,,
man_j29_1,j29人力1,0.0,1.0,0.0,1.0,,
man_j2_1,j2人力1,0.0,1.0,0.0,1.0,,
man_j30_1,j30人力1,0.0,1.0,0.0,1.0,,
man_j31_1,j31人力1,0.0,1.0,0.0,1.0,,
man_j32_1,j32人力1,0.0,1.0,0.0,1.0,,
man_j33_1,j33人力1,1.0,1.0,1.0,1.0,,
man_j34_1,j34人力1,1.0,1.0,1.0,1.0,,
man_j35_1,j35人力1,0.0,1.0,0.0,1.0,,
man_j36_1,j36人力1,0.0,1.0,0.0,1.0,,
man_j37_1,j37人力1,1.0,1.0,1.0,1.0,,
man_j38_1,j38人力1,1.0,1.0,1.0,1.0,,
man_j39_1,j39人力1,0.0,1.0,0.0,1.0,,
man_j3_1,j3人力1,1.0,1.0,1.0,1.0,,
man_j40_1,j40人力1,0.0,1.0,0.0,1.0,,
