origin_type,dest_type,plate_num,equipment_id,equipment_port,allocate_rule,inserted_on,modified_on
L,L,,r1,r1_1,random,,
L,L,,r1,r1_2,random,,
L,L,,r1,r1_3,random,,
L,L,,r1,r1_4,random,,
L,L,,r2,r2_1,random,,
L,L,,r2,r2_2,random,,
L,L,,r2,r2_3,random,,
L,L,,r2,r2_4,random,,
L,L,,r3,r3_1,random,,
L,L,,r3,r3_2,random,,
L,L,,r3,r3_3,random,,
L,L,,r3,r3_4,random,,
L,L,,r3,r3_5,random,,
L,L,,r3,r3_6,random,,
L,L,,r3,r3_7,random,,
L,L,,r3,r3_8,random,,
L,L,,r3,r3_9,random,,
L,L,,r3,r3_10,random,,
L,L,,r4,r4_1,random,,
L,L,,r4,r4_2,random,,
L,L,,r4,r4_3,random,,
L,L,,r4,r4_4,random,,
L,L,,r4,r4_5,random,,
L,L,,r4,r4_6,random,,
L,L,,r4,r4_7,random,,
L,L,,r4,r4_8,random,,
L,L,,r4,r4_9,random,,
L,L,,r4,r4_10,random,,
L,L,,r5,r5_1,random,,
L,L,,r5,r5_2,random,,
L,L,,r5,r5_3,random,,
L,L,,r5,r5_4,random,,
L,A,,r3,r3_1,random,,
L,A,,r3,r3_2,random,,
L,A,,r3,r3_3,random,,
L,A,,r3,r3_4,random,,
L,A,,r3,r3_5,random,,
L,A,,r3,r3_6,random,,
L,A,,r3,r3_7,random,,
L,A,,r3,r3_8,random,,
L,A,,r3,r3_9,random,,
L,A,,r3,r3_10,random,,
L,A,,r4,r4_1,random,,
L,A,,r4,r4_2,random,,
L,A,,r4,r4_3,random,,
L,A,,r4,r4_4,random,,
L,A,,r4,r4_5,random,,
L,A,,r4,r4_6,random,,
L,A,,r4,r4_7,random,,
L,A,,r4,r4_8,random,,
L,A,,r4,r4_9,random,,
L,A,,r4,r4_10,random,,
L,A,,r5,r5_1,random,,
L,A,,r5,r5_2,random,,
L,A,,r5,r5_3,random,,
L,A,,r5,r5_4,random,,
A,A,,a1,a1_1,random,,
A,A,,a1,a1_2,random,,
A,A,,a1,a1_3,random,,
A,A,,a1,a1_4,random,,
A,A,,a1,a1_5,random,,
A,A,,a1,a1_6,random,,
A,A,,a1,a1_7,random,,
A,A,,a1,a1_8,random,,
A,A,,a1,a1_9,random,,
A,A,,a1,a1_10,random,,
A,A,,a1,a1_11,random,,
A,A,,a1,a1_12,random,,
A,A,,a2,a2_1,random,,
A,A,,a2,a2_2,random,,
A,A,,a2,a2_3,random,,
A,A,,a2,a2_4,random,,
A,A,,a2,a2_5,random,,
A,A,,a2,a2_6,random,,
A,A,,a2,a2_7,random,,
A,A,,a2,a2_8,random,,
A,A,,a2,a2_9,random,,
A,A,,a2,a2_10,random,,
A,A,,a2,a2_11,random,,
A,A,,a2,a2_12,random,,
A,L,,a1,a1_1,random,,
A,L,,a1,a1_2,random,,
A,L,,a1,a1_3,random,,
A,L,,a1,a1_4,random,,
A,L,,a1,a1_5,random,,
A,L,,a1,a1_6,random,,
A,L,,a1,a1_7,random,,
A,L,,a1,a1_8,random,,
A,L,,a1,a1_9,random,,
A,L,,a1,a1_10,random,,
A,L,,a1,a1_11,random,,
A,L,,a1,a1_12,random,,
A,L,,a2,a2_1,random,,
A,L,,a2,a2_2,random,,
A,L,,a2,a2_3,random,,
A,L,,a2,a2_4,random,,
A,L,,a2,a2_5,random,,
A,L,,a2,a2_6,random,,
A,L,,a2,a2_7,random,,
A,L,,a2,a2_8,random,,
A,L,,a2,a2_9,random,,
A,L,,a2,a2_10,random,,
A,L,,a2,a2_11,random,,
A,L,,a2,a2_12,random,,
