equipment_port_last,equipment_port_next,equipment_type,queue_id,process_time,allocate_rule,parcel_type,sorter_zone,dest_code,dest_type
i1_1,c1_1,c,i1_c1,26.84 ,OD,Parcel,LS1,571J,L
i1_2,c1_1,c,i1_c1,26.84 ,OD,Parcel,LS1,571J,L
i4_1,c1_1,c,i4_c1,38.04 ,OD,Parcel,LS1,571J,L
i4_2,c1_1,c,i4_c1,38.04 ,OD,Parcel,LS1,571J,L
i4_3,c1_1,c,i4_c1,38.04 ,OD,Parcel,LS1,571J,L
i4_4,c1_1,c,i4_c1,38.04 ,OD,Parcel,LS1,571J,L
i1_1,c1_10,c,i1_c1,26.84 ,OD,Parcel,LS1,571TK,L
i1_2,c1_10,c,i1_c1,26.84 ,OD,Parcel,LS1,571TK,L
i4_1,c1_10,c,i4_c1,38.04 ,OD,Parcel,LS1,571TK,L
i4_2,c1_10,c,i4_c1,38.04 ,OD,Parcel,LS1,571TK,L
i4_3,c1_10,c,i4_c1,38.04 ,OD,Parcel,LS1,571TK,L
i4_4,c1_10,c,i4_c1,38.04 ,OD,Parcel,LS1,571TK,L
i1_1,c1_11,c,i1_c1,26.84 ,OD,Parcel,LS1,571CD,L
i1_2,c1_11,c,i1_c1,26.84 ,OD,Parcel,LS1,571CD,L
i4_1,c1_11,c,i4_c1,38.04 ,OD,Parcel,LS1,571CD,L
i4_2,c1_11,c,i4_c1,38.04 ,OD,Parcel,LS1,571CD,L
i4_3,c1_11,c,i4_c1,38.04 ,OD,Parcel,LS1,571CD,L
i4_4,c1_11,c,i4_c1,38.04 ,OD,Parcel,LS1,571CD,L
i1_1,c1_12,c,i1_c1,26.84 ,OD,Parcel,LS1,571TB,L
i1_2,c1_12,c,i1_c1,26.84 ,OD,Parcel,LS1,571TB,L
i4_1,c1_12,c,i4_c1,38.04 ,OD,Parcel,LS1,571TB,L
i4_2,c1_12,c,i4_c1,38.04 ,OD,Parcel,LS1,571TB,L
i4_3,c1_12,c,i4_c1,38.04 ,OD,Parcel,LS1,571TB,L
i4_4,c1_12,c,i4_c1,38.04 ,OD,Parcel,LS1,571TB,L
i1_1,c1_13,c,i1_c1,26.84 ,OD,Parcel,LS1,571AG,L
i1_2,c1_13,c,i1_c1,26.84 ,OD,Parcel,LS1,571AG,L
i4_1,c1_13,c,i4_c1,38.04 ,OD,Parcel,LS1,571AG,L
