queue_id,package_id,time_stamp,action
r1_m1,165236,25210.8,start
r1_m1,165236,25252.17,end
r1_m1,165236,25255.17,start
r1_m1,165236,25296.539999999997,end
m1_i2,165236,25299.539999999997,start
m1_i2,165236,25446.079999999998,end
i2_i1,165236,25446.079999999998,start
i2_i1,165236,25587.01,end
i1_c1,165236,25587.01,start
i1_c1,165236,25613.85,end
r2_m1,387327,9.6,start
r2_m1,387327,51.86,end
r2_m1,387327,54.86,start
r2_m1,387327,97.12,end
m1_i2,387327,100.12,start
m1_i2,387327,246.66,end
i2_c2,387327,246.66,start
i2_c2,387327,284.7,end
r2_m1,394027,33.6,start
r2_m1,394027,75.86,end
r2_m1,394027,78.86,start
r2_m1,394027,121.12,end
m1_i2,394027,124.12,start
m1_i2,394027,270.65999999999997,end
i2_c2,394027,270.65999999999997,start
i2_c2,394027,308.7,end
r2_m1,384392,28.8,start
r2_m1,384392,71.06,end
r2_m1,384392,74.06,start
r2_m1,384392,116.32,end
m1_i2,384392,129.26,start
m1_i2,384392,275.79999999999995,end
i2_c2,384392,275.79999999999995,start
i2_c2,384392,313.84,end
r2_m1,384395,33.6,start
r2_m1,384395,75.86,end
r2_m1,384395,78.86,start
r2_m1,384395,121.12,end
m1_i2,384395,135.26,start
m1_i2,384395,281.79999999999995,end
i2_c2,384395,281.79999999999995,start
i2_c2,384395,319.84,end
r2_m1,384404,57.59999999999999,start
r2_m1,384404,99.85999999999999,end
r2_m1,384404,108.25999999999999,start
r2_m1,384404,150.51999999999998,end
m1_i2,384404,168.26,start
m1_i2,384404,314.79999999999995,end
i2_c2,384404,314.79999999999995,start
i2_c2,384404,352.84,end
r3_m2,384381,4.8,start
r3_m2,384381,62.709999999999994,end
r3_m2,384381,65.71,start
r3_m2,384381,123.61999999999999,end
m2_i2,384381,126.61999999999999,start
m2_i2,384381,344.38,end
i2_c2,384381,344.38,start
i2_c2,384381,382.42,end
r3_m2,385284,9.6,start
r3_m2,385284,67.50999999999999,end
r3_m2,385284,71.71,start
r3_m2,385284,129.62,end
m2_i2,385284,135.62,start
m2_i2,385284,353.38,end
i2_c2,385284,353.38,start
i2_c2,385284,391.42,end
r3_m2,387770,38.4,start
r3_m2,387770,96.31,end
r3_m2,387770,99.31,start
r3_m2,387770,157.22,end
m2_i2,387770,171.62,start
m2_i2,387770,389.38,end
i2_c2,387770,389.38,start
i2_c2,387770,427.42,end
r2_m1,392619,148.8,start
r2_m1,392619,191.06,end
r2_m1,392619,213.26,start
r2_m1,392619,255.51999999999998,end
m1_i2,392619,264.26,start
