parcel_id,small_id,parcel_type,start_node,ident_des_zno,sorter_type,dest_type,ret_path,run_time
980000000072,721250,small,c8_1,771,small_sort,A,c8_1:c13_15,2017-08-29 10:01:50.972091
980000000129,697927,small,c8_1,816,small_sort,A,c8_1:c13_5,2017-08-29 10:01:50.972091
980000000158,713847,small,c8_1,310,small_sort,A,c8_1:c14_18,2017-08-29 10:01:50.972091
980000000213,657607,small,c8_1,818,small_sort,A,c8_1:c14_22,2017-08-29 10:01:50.972091
980000000188,700300,small,c8_1,475,small_sort,A,c8_1:c18_4,2017-08-29 10:01:50.972091
980000000092,722644,small,c8_1,316,small_sort,L,c8_1:c3_2,2017-08-29 10:01:50.972091
980000000102,658099,small,c8_1,812,small_sort,L,c8_1:c3_2,2017-08-29 10:01:50.972091
980000000042,662336,small,c8_1,472,small_sort,L,c8_1:c3_8,2017-08-29 10:01:50.972091
980000000257,716024,small,c8_1,472,small_sort,L,c8_1:c3_8,2017-08-29 10:01:50.972091
980000000268,583199,small,c8_1,574HC010,small_sort,L,c8_1:c4_11,2017-08-29 10:01:50.972091
980000000162,655479,small,c9_1,575H001,small_sort,L,c9_1:c3_18,2017-08-29 10:01:50.972091
100602,100602,parcel,r5_1,453,reload,A,r5_1:m3_1:j21_1:i17_1:c16_15,2017-08-29 10:01:50.972091
100602,100602,parcel,j21_1,453,reload,A,j21_1:i17_1:c16_15,2017-08-29 10:01:50.972091
100507,100507,parcel,r5_1,029,reload,A,r5_1:m3_1:j9_1:i22_2:c16_16,2017-08-29 10:01:50.972091
100507,100507,parcel,j21_1,029,reload,A,j21_1:i17_1:c16_16,2017-08-29 10:01:50.972091
100227,100227,parcel,r5_1,029,reload,A,r5_1:m3_1:j17_1:i22_3:c18_14,2017-08-29 10:01:50.972091
100227,100227,parcel,j19_1,029,reload,A,j19_1:i17_1:c16_16,2017-08-29 10:01:50.972091
100410,100410,parcel,r5_1,029,reload,A,r5_1:m3_1:j11_1:i22_2:c18_12,2017-08-29 10:01:50.972091
100410,100410,parcel,j21_1,029,reload,A,j21_1:i17_1:c16_16,2017-08-29 10:01:50.972091
100458,100458,parcel,r5_1,029,reload,A,r5_1:m3_1:j19_1:i17_1:c18_12,2017-08-29 10:01:50.972091
100458,100458,parcel,j19_1,029,reload,A,j19_1:i17_1:c16_16,2017-08-29 10:01:50.972091
101403,101403,parcel,r5_1,633,reload,A,r5_1:m3_1:j21_1:i17_1:c17_28,2017-08-29 10:01:50.972091
101403,101403,parcel,j23_1,633,reload,A,j23_1:i17_1:c16_25,2017-08-29 10:01:50.972091
1000,1000,parcel,r5_1,543,reload,A,r5_1:m3_1:j13_1:i22_3:c16_25,2017-08-29 10:01:50.972091
1000,1000,parcel,j23_1,543,reload,A,j23_1:i17_1:c16_25,2017-08-29 10:01:50.972091
100587,100587,parcel,r5_1,354,reload,A,r5_1:m3_1:j17_1:i22_3:c16_4,2017-08-29 10:01:50.972091
100587,100587,parcel,j21_1,354,reload,A,j21_1:i17_1:c16_4,2017-08-29 10:01:50.972091
100211,100211,parcel,r5_1,411,reload,A,r5_1:m3_1:j9_1:i22_2:c17_10,2017-08-29 10:01:50.972091
100211,100211,parcel,j21_1,411,reload,A,j21_1:i17_1:c17_10,2017-08-29 10:01:50.972091
100246,100246,parcel,r5_1,411,reload,A,r5_1:m3_1:j21_1:i17_1:c17_10,2017-08-29 10:01:50.972091
100246,100246,parcel,j21_1,411,reload,A,j21_1:i17_1:c17_10,2017-08-29 10:01:50.972091
100264,100264,parcel,r5_1,411,reload,A,r5_1:m3_1:j15_1:i22_3:c17_6,2017-08-29 10:01:50.972091
100264,100264,parcel,j19_1,411,reload,A,j19_1:i17_1:c17_12,2017-08-29 10:01:50.972091
101136,101136,parcel,r5_1,010,reload,A,r5_1:m3_1:j21_1:i17_1:c17_13,2017-08-29 10:01:50.972091
101136,101136,parcel,j23_1,010,reload,A,j23_1:i17_1:c17_17,2017-08-29 10:01:50.972091
1002,1002,parcel,r5_1,010,reload,A,r5_1:m3_1:j9_1:i22_2:c17_15,2017-08-29 10:01:50.972091
1002,1002,parcel,j19_1,010,reload,A,j19_1:i17_1:c17_17,2017-08-29 10:01:50.972091
101255,101255,parcel,r5_1,010,reload,A,r5_1:m3_1:j13_1:i22_3:c17_19,2017-08-29 10:01:50.972091
101255,101255,parcel,j19_1,010,reload,A,j19_1:i17_1:c17_21,2017-08-29 10:01:50.972091
100542,100542,parcel,r5_1,431,reload,A,r5_1:m3_1:j15_1:i22_3:i21_1:c13_16,2017-08-29 10:01:50.972091
100542,100542,parcel,j21_1,431,reload,A,j21_1:i17_1:c17_4,2017-08-29 10:01:50.972091
101402,101402,parcel,r5_1,311,reload,A,r5_1:m3_1:j9_1:i22_2:c17_5,2017-08-29 10:01:50.972091
101402,101402,parcel,j21_1,311,reload,A,j21_1:i17_1:c17_5,2017-08-29 10:01:50.972091
100243,100243,parcel,r5_1,411,reload,A,r5_1:m3_1:j17_1:i22_3:c17_12,2017-08-29 10:01:50.972091
100243,100243,parcel,j19_1,411,reload,A,j19_1:i17_1:c17_6,2017-08-29 10:01:50.972091
100339,100339,parcel,r5_1,319,reload,A,r5_1:m3_1:j19_1:i17_1:c17_5,2017-08-29 10:01:50.972091
100339,100339,parcel,j23_1,319,reload,A,j23_1:i17_1:c17_7,2017-08-29 10:01:50.972091
101030,101030,parcel,r5_1,311,reload,A,r5_1:m3_1:j21_1:i17_1:c17_5,2017-08-29 10:01:50.972091
101030,101030,parcel,j19_1,311,reload,A,j19_1:i17_1:c17_7,2017-08-29 10:01:50.972091
101417,101417,parcel,r5_1,312,reload,A,r5_1:m3_1:j21_1:i17_1:c17_7,2017-08-29 10:01:50.972091
101417,101417,parcel,j19_1,312,reload,A,j19_1:i17_1:c17_7,2017-08-29 10:01:50.972091
100209,100209,parcel,r5_1,411,reload,A,r5_1:m3_1:j23_1:i17_1:c17_6,2017-08-29 10:01:50.972091
100209,100209,parcel,j19_1,411,reload,A,j19_1:i17_1:c17_8,2017-08-29 10:01:50.972091
100165,100165,parcel,r5_1,411,reload,A,r5_1:m3_1:j11_1:i22_2:c17_10,2017-08-29 10:01:50.972091
100165,100165,parcel,j19_1,411,reload,A,j19_1:i17_1:c17_8,2017-08-29 10:01:50.972091
100166,100166,parcel,r5_1,411,reload,A,r5_1:m3_1:j19_1:i17_1:c16_1,2017-08-29 10:01:50.972091
100166,100166,parcel,j21_1,411,reload,A,j21_1:i17_1:c17_8,2017-08-29 10:01:50.972091
100167,100167,parcel,r5_1,411,reload,A,r5_1:m3_1:j17_1:i22_3:c17_6,2017-08-29 10:01:50.972091
100167,100167,parcel,j23_1,411,reload,A,j23_1:i17_1:c17_8,2017-08-29 10:01:50.972091
100289,100289,parcel,r5_1,022,reload,A,r5_1:m3_1:j11_1:i22_2:c17_9,2017-08-29 10:01:50.972091
100289,100289,parcel,j21_1,022,reload,A,j21_1:i17_1:c17_9,2017-08-29 10:01:50.972091
10043,10043,parcel,r5_1,022,reload,A,r5_1:m3_1:j15_1:i22_3:c17_11,2017-08-29 10:01:50.972091
10043,10043,parcel,j23_1,022,reload,A,j23_1:i17_1:c17_9,2017-08-29 10:01:50.972091
101288,101288,parcel,r5_1,022,reload,A,r5_1:m3_1:j17_1:i22_3:c17_9,2017-08-29 10:01:50.972091
101288,101288,parcel,j21_1,022,reload,A,j21_1:i17_1:c17_9,2017-08-29 10:01:50.972091
101290,101290,parcel,r5_1,316,reload,A,r5_1:m3_1:j15_1:i22_3:c17_11,2017-08-29 10:01:50.972091
101290,101290,parcel,j23_1,316,reload,A,j23_1:i17_1:c17_9,2017-08-29 10:01:50.972091
100268,100268,parcel,r5_1,029,reload,A,r5_1:m3_1:j23_1:i17_1:c18_12,2017-08-29 10:01:50.972091
100268,100268,parcel,j21_1,029,reload,A,j21_1:i17_1:c18_10,2017-08-29 10:01:50.972091
100508,100508,parcel,r5_1,024,reload,A,r5_1:m3_1:j13_1:i22_3:c18_2,2017-08-29 10:01:50.972091
100508,100508,parcel,j23_1,024,reload,A,j23_1:i17_1:c18_11,2017-08-29 10:01:50.972091
100947,100947,parcel,r5_1,024,reload,A,r5_1:m3_1:j21_1:i17_1:c18_2,2017-08-29 10:01:50.972091
100947,100947,parcel,j21_1,024,reload,A,j21_1:i17_1:c18_11,2017-08-29 10:01:50.972091
100327,100327,parcel,r5_1,029,reload,A,r5_1:m3_1:j17_1:i22_3:c16_16,2017-08-29 10:01:50.972091
100327,100327,parcel,j21_1,029,reload,A,j21_1:i17_1:c18_12,2017-08-29 10:01:50.972091
101076,101076,parcel,r5_1,029,reload,A,r5_1:m3_1:j13_1:i22_3:c16_16,2017-08-29 10:01:50.972091
101076,101076,parcel,j23_1,029,reload,A,j23_1:i17_1:c18_14,2017-08-29 10:01:50.972091
100249,100249,parcel,r5_1,029,reload,A,r5_1:m3_1:j15_1:i22_3:c18_10,2017-08-29 10:01:50.972091
100249,100249,parcel,j23_1,029,reload,A,j23_1:i17_1:c18_14,2017-08-29 10:01:50.972091
101089,101089,parcel,r5_1,029,reload,A,r5_1:m3_1:j17_1:i22_3:c18_12,2017-08-29 10:01:50.972091
101089,101089,parcel,j21_1,029,reload,A,j21_1:i17_1:c18_14,2017-08-29 10:01:50.972091
100409,100409,parcel,r5_1,029,reload,A,r5_1:m3_1:j9_1:i22_2:c18_10,2017-08-29 10:01:50.972091
100409,100409,parcel,j19_1,029,reload,A,j19_1:i17_1:c18_14,2017-08-29 10:01:50.972091
100876,100876,parcel,r5_1,029,reload,A,r5_1:m3_1:j21_1:i17_1:c18_10,2017-08-29 10:01:50.972091
100876,100876,parcel,j19_1,029,reload,A,j19_1:i17_1:c18_14,2017-08-29 10:01:50.972091
100588,100588,parcel,r5_1,024,reload,A,r5_1:m3_1:j21_1:i17_1:c18_9,2017-08-29 10:01:50.972091
100588,100588,parcel,j23_1,024,reload,A,j23_1:i17_1:c18_2,2017-08-29 10:01:50.972091
100561,100561,parcel,r5_1,024,reload,A,r5_1:m3_1:j17_1:i22_3:c18_9,2017-08-29 10:01:50.972091
100561,100561,parcel,j21_1,024,reload,A,j21_1:i17_1:c18_2,2017-08-29 10:01:50.972091
101027,101027,parcel,r5_1,024,reload,A,r5_1:m3_1:j17_1:i22_3:c18_9,2017-08-29 10:01:50.972091
101027,101027,parcel,j21_1,024,reload,A,j21_1:i17_1:c18_2,2017-08-29 10:01:50.972091
101348,101348,parcel,r5_1,851,reload,A,r5_1:m3_1:j11_1:i22_2:c18_20,2017-08-29 10:01:50.972091
101348,101348,parcel,j21_1,851,reload,A,j21_1:i17_1:c18_20,2017-08-29 10:01:50.972091
100293,100293,parcel,r5_1,871,reload,A,r5_1:m3_1:j15_1:i22_3:c18_23,2017-08-29 10:01:50.972091
100293,100293,parcel,j21_1,871,reload,A,j21_1:i17_1:c18_21,2017-08-29 10:01:50.972091
100577,100577,parcel,r5_1,871,reload,A,r5_1:m3_1:j23_1:i17_1:c18_21,2017-08-29 10:01:50.972091
100577,100577,parcel,j23_1,871,reload,A,j23_1:i17_1:c18_21,2017-08-29 10:01:50.972091
100989,100989,parcel,r5_1,871,reload,A,r5_1:m3_1:j21_1:i17_1:c18_21,2017-08-29 10:01:50.972091
100989,100989,parcel,j19_1,871,reload,A,j19_1:i17_1:c18_21,2017-08-29 10:01:50.972091
