equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
truck,339142756861,LL,0.0,wait,1,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r5_1,339142756861,LL,0.0,start,1,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r5_1,339142756861,LL,3.13,end,1,2017-07-25 21:00:03.130,2017-08-29 10:01:50.972091
truck,338509132680,LA,0.0,wait,4,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r4_1,338509132680,LA,0.0,start,4,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r4_1,338509132680,LA,6.26,end,4,2017-07-25 21:00:06.260,2017-08-29 10:01:50.972091
truck,338931556972,LL,0.0,wait,10,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r1_2,338931556972,LL,0.0,start,10,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r1_2,338931556972,LL,18.400000000000002,end,10,2017-07-25 21:00:18.400,2017-08-29 10:01:50.972091
truck,338004096665,LA,0.0,wait,15,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r3_1,338004096665,LA,0.0,start,15,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r3_1,338004096665,LA,25.039999999999996,end,15,2017-07-25 21:00:25.040,2017-08-29 10:01:50.972091
truck,339396298803,LL,0.0,wait,3,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r5_1,339396298803,LL,93.13,start,3,2017-07-25 21:01:33.130,2017-08-29 10:01:50.972091
r5_1,339396298803,LL,99.38999999999999,end,3,2017-07-25 21:01:39.390,2017-08-29 10:01:50.972091
truck,339908879139,LL,0.0,wait,4,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r4_1,339908879139,LL,96.26,start,4,2017-07-25 21:01:36.260,2017-08-29 10:01:50.972091
r4_1,339908879139,LL,102.52,end,4,2017-07-25 21:01:42.520,2017-08-29 10:01:50.972091
truck,339908879272,LA,0.0,wait,5,2017-07-25 21:00:00.000,2017-08-29 10:01:50.972091
r3_1,339908879272,LA,115.03999999999999,start,5,2017-07-25 21:01:55.040,2017-08-29 10:01:50.972091
r3_1,339908879272,LA,124.42999999999998,end,5,2017-07-25 21:02:04.430,2017-08-29 10:01:50.972091
truck,338778359464,LL,268.0,wait,1,2017-07-25 21:04:28.000,2017-08-29 10:01:50.972091
r1_2,338778359464,LL,268.0,start,1,2017-07-25 21:04:28.000,2017-08-29 10:01:50.972091
r1_2,338778359464,LL,271.68,end,1,2017-07-25 21:04:31.680,2017-08-29 10:01:50.972091
truck,338691762633,LL,830.0,wait,2,2017-07-25 21:13:50.000,2017-08-29 10:01:50.972091
r5_1,338691762633,LL,830.0,start,2,2017-07-25 21:13:50.000,2017-08-29 10:01:50.972091
r5_1,338691762633,LL,833.13,end,2,2017-07-25 21:13:53.130,2017-08-29 10:01:50.972091
truck,338021771570,LA,1656.0,wait,1,2017-07-25 21:27:36.000,2017-08-29 10:01:50.972091
r4_1,338021771570,LA,1656.0,start,1,2017-07-25 21:27:36.000,2017-08-29 10:01:50.972091
r4_1,338021771570,LA,1659.13,end,1,2017-07-25 21:27:39.130,2017-08-29 10:01:50.972091
truck,338196622937,LA,1695.0,wait,1,2017-07-25 21:28:15.000,2017-08-29 10:01:50.972091
r3_1,338196622937,LA,1695.0,start,1,2017-07-25 21:28:15.000,2017-08-29 10:01:50.972091
r3_1,338196622937,LA,1698.13,end,1,2017-07-25 21:28:18.130,2017-08-29 10:01:50.972091
truck,339396298876,LL,2435.0,wait,12,2017-07-25 21:40:35.000,2017-08-29 10:01:50.972091
r1_2,339396298876,LL,2435.0,start,12,2017-07-25 21:40:35.000,2017-08-29 10:01:50.972091
r1_2,339396298876,LL,2457.079999999999,end,12,2017-07-25 21:40:57.080,2017-08-29 10:01:50.972091
truck,339396329945,LA,2481.0,wait,39,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,339396329945,LA,2481.0,start,39,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,339396329945,LA,2543.600000000002,end,39,2017-07-25 21:42:23.600,2017-08-29 10:01:50.972091
truck,338066649581,LA,2633.0,wait,5,2017-07-25 21:43:53.000,2017-08-29 10:01:50.972091
r4_1,338066649581,LA,2633.0,start,5,2017-07-25 21:43:53.000,2017-08-29 10:01:50.972091
r4_1,338066649581,LA,2642.3900000000003,end,5,2017-07-25 21:44:02.390,2017-08-29 10:01:50.972091
truck,339511040048,LA,2919.0,wait,2,2017-07-25 21:48:39.000,2017-08-29 10:01:50.972091
r3_1,339511040048,LA,2919.0,start,2,2017-07-25 21:48:39.000,2017-08-29 10:01:50.972091
r3_1,339511040048,LA,2922.13,end,2,2017-07-25 21:48:42.130,2017-08-29 10:01:50.972091
truck,338509132740,LA,4113.0,wait,3,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,338509132740,LA,4113.0,start,3,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,338509132740,LA,4119.26,end,3,2017-07-25 22:08:39.260,2017-08-29 10:01:50.972091
truck,338214510355,LA,4135.0,wait,1,2017-07-25 22:08:55.000,2017-08-29 10:01:50.972091
r4_1,338214510355,LA,4135.0,start,1,2017-07-25 22:08:55.000,2017-08-29 10:01:50.972091
r4_1,338214510355,LA,4138.13,end,1,2017-07-25 22:08:58.130,2017-08-29 10:01:50.972091
truck,338196622919,LA,4185.0,wait,2,2017-07-25 22:09:45.000,2017-08-29 10:01:50.972091
r3_1,338196622919,LA,4185.0,start,2,2017-07-25 22:09:45.000,2017-08-29 10:01:50.972091
r3_1,338196622919,LA,4188.13,end,2,2017-07-25 22:09:48.130,2017-08-29 10:01:50.972091
truck,336746056087,LA,4456.0,wait,2,2017-07-25 22:14:16.000,2017-08-29 10:01:50.972091
r5_1,336746056087,LA,4456.0,start,2,2017-07-25 22:14:16.000,2017-08-29 10:01:50.972091
r5_1,336746056087,LA,4459.13,end,2,2017-07-25 22:14:19.130,2017-08-29 10:01:50.972091
truck,338153408068,LA,5304.0,wait,2,2017-07-25 22:28:24.000,2017-08-29 10:01:50.972091
r4_1,338153408068,LA,5304.0,start,2,2017-07-25 22:28:24.000,2017-08-29 10:01:50.972091
r4_1,338153408068,LA,5307.13,end,2,2017-07-25 22:28:27.130,2017-08-29 10:01:50.972091
truck,338832211153,LA,5420.0,wait,3,2017-07-25 22:30:20.000,2017-08-29 10:01:50.972091
r3_1,338832211153,LA,5420.0,start,3,2017-07-25 22:30:20.000,2017-08-29 10:01:50.972091
r3_1,338832211153,LA,5426.26,end,3,2017-07-25 22:30:26.260,2017-08-29 10:01:50.972091
truck,334999269358,LA,5788.0,wait,2,2017-07-25 22:36:28.000,2017-08-29 10:01:50.972091
r5_1,334999269358,LA,5788.0,start,2,2017-07-25 22:36:28.000,2017-08-29 10:01:50.972091
